"","Name","Year","Weapon_Rate"
"553","MONROE ELEM.",2008,0
"554","MONROE ELEM.",2009,0
"555","MONROE ELEM.",2010,0
"556","MONROE ELEM.",2011,0
"557","MONROE ELEM.",2012,0
"558","MONROE ELEM.",2013,0.6
"559","MONROE ELEM.",2014,1
"560","MONROE ELEM.",2015,0
"561","MULLANPHY BOTANICAL GARDENS",2008,0
"562","MULLANPHY BOTANICAL GARDENS",2009,0
"563","MULLANPHY BOTANICAL GARDENS",2010,0
"564","MULLANPHY BOTANICAL GARDENS",2011,0
"565","MULLANPHY BOTANICAL GARDENS",2012,0
"566","MULLANPHY BOTANICAL GARDENS",2013,0
"567","MULLANPHY BOTANICAL GARDENS",2014,0
"568","MULLANPHY BOTANICAL GARDENS",2015,0.3
"569","NORTHWEST MIDDLE",2008,0
"570","NORTHWEST MIDDLE",2009,0
"571","NORTHWEST MIDDLE",2010,NA
"572","NORTHWEST MIDDLE",2011,NA
"573","NORTHWEST MIDDLE",2012,NA
"574","NORTHWEST MIDDLE",2013,NA
"575","NORTHWEST MIDDLE",2014,NA
"576","NORTHWEST MIDDLE",2015,NA
"577","OAK HILL ELEM.",2008,0
"578","OAK HILL ELEM.",2009,0
"579","OAK HILL ELEM.",2010,0
"580","OAK HILL ELEM.",2011,0
"581","OAK HILL ELEM.",2012,0
"582","OAK HILL ELEM.",2013,0
"583","OAK HILL ELEM.",2014,0
"584","OAK HILL ELEM.",2015,0
"585","PEABODY ELEM.",2008,0
"586","PEABODY ELEM.",2009,0.8
"587","PEABODY ELEM.",2010,0
"588","PEABODY ELEM.",2011,0
"589","PEABODY ELEM.",2012,0
"590","PEABODY ELEM.",2013,0
"591","PEABODY ELEM.",2014,0
"592","PEABODY ELEM.",2015,0
"593","ROOSEVELT 9TH GRADE CTR.",2008,1
"594","ROOSEVELT 9TH GRADE CTR.",2009,0
"595","ROOSEVELT 9TH GRADE CTR.",2010,NA
"596","ROOSEVELT 9TH GRADE CTR.",2011,NA
"597","ROOSEVELT 9TH GRADE CTR.",2012,NA
"598","ROOSEVELT 9TH GRADE CTR.",2013,NA
"599","ROOSEVELT 9TH GRADE CTR.",2014,NA
"600","ROOSEVELT 9TH GRADE CTR.",2015,NA
"601","ROOSEVELT HIGH",2008,0.4
"602","ROOSEVELT HIGH",2009,0.5
"603","ROOSEVELT HIGH",2010,0.4
"604","ROOSEVELT HIGH",2011,0.3
"605","ROOSEVELT HIGH",2012,0.2
"606","ROOSEVELT HIGH",2013,0.9
"607","ROOSEVELT HIGH",2014,0.5
"608","ROOSEVELT HIGH",2015,0
"609","SCRUGGS ELEM.",2008,1.1
"610","SCRUGGS ELEM.",2009,1.4
"611","SCRUGGS ELEM.",2010,NA
"612","SCRUGGS ELEM.",2011,NA
"613","SCRUGGS ELEM.",2012,NA
"614","SCRUGGS ELEM.",2013,NA
"615","SCRUGGS ELEM.",2014,NA
"616","SCRUGGS ELEM.",2015,NA
"617","SHAW VISUAL/PERF. ARTS CTR.",2008,0
"618","SHAW VISUAL/PERF. ARTS CTR.",2009,0
"619","SHAW VISUAL/PERF. ARTS CTR.",2010,0
"620","SHAW VISUAL/PERF. ARTS CTR.",2011,0
"621","SHAW VISUAL/PERF. ARTS CTR.",2012,0.6
"622","SHAW VISUAL/PERF. ARTS CTR.",2013,0
"623","SHAW VISUAL/PERF. ARTS CTR.",2014,0.3
"624","SHAW VISUAL/PERF. ARTS CTR.",2015,0
"625","SHENANDOAH ELEM.",2008,0
"626","SHENANDOAH ELEM.",2009,0
"627","SHENANDOAH ELEM.",2010,0
"628","SHENANDOAH ELEM.",2011,0
"629","SHENANDOAH ELEM.",2012,0.7
"630","SHENANDOAH ELEM.",2013,0
"631","SHENANDOAH ELEM.",2014,0
"632","SHENANDOAH ELEM.",2015,0.5
"633","SHEPARD ELEM.",2008,0.4
"634","SHEPARD ELEM.",2009,0
"635","SHEPARD ELEM.",2010,NA
"636","SHEPARD ELEM.",2011,NA
"637","SHEPARD ELEM.",2012,NA
"638","SHEPARD ELEM.",2013,NA
"639","SHEPARD ELEM.",2014,NA
"640","SHEPARD ELEM.",2015,NA
"641","SHERMAN ELEM. COMM. ED. CTR.",2008,0.6
"642","SHERMAN ELEM. COMM. ED. CTR.",2009,0
"643","SHERMAN ELEM. COMM. ED. CTR.",2010,0.7
"644","SHERMAN ELEM. COMM. ED. CTR.",2011,0
"645","SHERMAN ELEM. COMM. ED. CTR.",2012,0
"646","SHERMAN ELEM. COMM. ED. CTR.",2013,0
"647","SHERMAN ELEM. COMM. ED. CTR.",2014,0
"648","SHERMAN ELEM. COMM. ED. CTR.",2015,NA
"649","SIGEL ELEM. COMM. ED. CTR.",2008,0
"650","SIGEL ELEM. COMM. ED. CTR.",2009,0
"651","SIGEL ELEM. COMM. ED. CTR.",2010,0.8
"652","SIGEL ELEM. COMM. ED. CTR.",2011,0
"653","SIGEL ELEM. COMM. ED. CTR.",2012,1.1
"654","SIGEL ELEM. COMM. ED. CTR.",2013,0
"655","SIGEL ELEM. COMM. ED. CTR.",2014,0
"656","SIGEL ELEM. COMM. ED. CTR.",2015,0
"657","SIMMONS ELEM.",2008,0
"658","SIMMONS ELEM.",2009,0
"659","SIMMONS ELEM.",2010,NA
"660","SIMMONS ELEM.",2011,NA
"661","SIMMONS ELEM.",2012,NA
"662","SIMMONS ELEM.",2013,NA
"663","SIMMONS ELEM.",2014,NA
"664","SIMMONS ELEM.",2015,NA
"665","SOLDAN INTERNATIONAL STUDIES",2008,0.3
"666","SOLDAN INTERNATIONAL STUDIES",2009,0
"667","SOLDAN INTERNATIONAL STUDIES",2010,0.1
"668","SOLDAN INTERNATIONAL STUDIES",2011,0.7
"669","SOLDAN INTERNATIONAL STUDIES",2012,0.3
"670","SOLDAN INTERNATIONAL STUDIES",2013,0
"671","SOLDAN INTERNATIONAL STUDIES",2014,0
"672","SOLDAN INTERNATIONAL STUDIES",2015,0
"673","ST. LOUIS CHILDREN'S HOSPITAL",2008,0
"674","ST. LOUIS CHILDREN'S HOSPITAL",2009,0
"675","ST. LOUIS CHILDREN'S HOSPITAL",2010,0
"676","ST. LOUIS CHILDREN'S HOSPITAL",2011,0
"677","ST. LOUIS CHILDREN'S HOSPITAL",2012,0
"678","ST. LOUIS CHILDREN'S HOSPITAL",2013,0
"679","ST. LOUIS CHILDREN'S HOSPITAL",2014,0
"680","ST. LOUIS CHILDREN'S HOSPITAL",2015,0
"681","STEVENS MIDDLE COMMUNITY ED.",2008,1.6
"682","STEVENS MIDDLE COMMUNITY ED.",2009,1.5
"683","STEVENS MIDDLE COMMUNITY ED.",2010,0.4
"684","STEVENS MIDDLE COMMUNITY ED.",2011,0.6
"685","STEVENS MIDDLE COMMUNITY ED.",2012,0
"686","STEVENS MIDDLE COMMUNITY ED.",2013,0
"687","STEVENS MIDDLE COMMUNITY ED.",2014,0
"688","STEVENS MIDDLE COMMUNITY ED.",2015,0
"689","STIX EARLY CHILDHOOD CTR.",2008,0
"690","STIX EARLY CHILDHOOD CTR.",2009,0
"691","STIX EARLY CHILDHOOD CTR.",2010,0
"692","STIX EARLY CHILDHOOD CTR.",2011,0
"693","STIX EARLY CHILDHOOD CTR.",2012,0
"694","STIX EARLY CHILDHOOD CTR.",2013,0
"695","STIX EARLY CHILDHOOD CTR.",2014,0
"696","STIX EARLY CHILDHOOD CTR.",2015,0
"697","STOWE PREPARATORY JR. HIGH",2008,0.7
"698","STOWE PREPARATORY JR. HIGH",2009,0
"699","STOWE PREPARATORY JR. HIGH",2010,NA
"700","STOWE PREPARATORY JR. HIGH",2011,NA
"701","STOWE PREPARATORY JR. HIGH",2012,NA
"702","STOWE PREPARATORY JR. HIGH",2013,NA
"703","STOWE PREPARATORY JR. HIGH",2014,NA
"704","STOWE PREPARATORY JR. HIGH",2015,NA
"705","SUMNER HIGH",2008,0.3
"706","SUMNER HIGH",2009,0.5
"707","SUMNER HIGH",2010,0.2
"708","SUMNER HIGH",2011,0.5
"709","SUMNER HIGH",2012,0.4
"710","SUMNER HIGH",2013,0
"711","SUMNER HIGH",2014,0.9
"712","SUMNER HIGH",2015,0.9
"713","THE COLLEGE PREPARATORY HIGH",2008,NA
"714","THE COLLEGE PREPARATORY HIGH",2009,NA
"715","THE COLLEGE PREPARATORY HIGH",2010,NA
"716","THE COLLEGE PREPARATORY HIGH",2011,NA
"717","THE COLLEGE PREPARATORY HIGH",2012,NA
"718","THE COLLEGE PREPARATORY HIGH",2013,0
"719","THE COLLEGE PREPARATORY HIGH",2014,0
"720","THE COLLEGE PREPARATORY HIGH",2015,0
"721","TRANSPORTATION AND LAW",2008,0.5
"722","TRANSPORTATION AND LAW",2009,0.4
"723","TRANSPORTATION AND LAW",2010,0
"724","TRANSPORTATION AND LAW",2011,0.9
"725","TRANSPORTATION AND LAW",2012,0.7
"726","TRANSPORTATION AND LAW",2013,0
"727","TRANSPORTATION AND LAW",2014,0.3
"728","TRANSPORTATION AND LAW",2015,0.3
"729","VASHON 9TH GRADE CTR.",2008,3.8
"730","VASHON 9TH GRADE CTR.",2009,NA
"731","VASHON 9TH GRADE CTR.",2010,NA
"732","VASHON 9TH GRADE CTR.",2011,NA
"733","VASHON 9TH GRADE CTR.",2012,NA
"734","VASHON 9TH GRADE CTR.",2013,NA
"735","VASHON 9TH GRADE CTR.",2014,NA
"736","VASHON 9TH GRADE CTR.",2015,NA
"737","VASHON HIGH",2008,1.7
"738","VASHON HIGH",2009,0.7
"739","VASHON HIGH",2010,2.4
"740","VASHON HIGH",2011,0.3
"741","VASHON HIGH",2012,0.8
"742","VASHON HIGH",2013,0.6
"743","VASHON HIGH",2014,0.6
"744","VASHON HIGH",2015,0.9
"745","VO. TECH. TUITION",2008,0
"746","VO. TECH. TUITION",2009,0
"747","VO. TECH. TUITION",2010,0
"748","VO. TECH. TUITION",2011,0
"749","VO. TECH. TUITION",2012,0
"750","VO. TECH. TUITION",2013,0
"751","VO. TECH. TUITION",2014,0
"752","VO. TECH. TUITION",2015,0
"753","WALBRIDGE ELEM. COMMUNITY ED.",2008,0.4
"754","WALBRIDGE ELEM. COMMUNITY ED.",2009,0
"755","WALBRIDGE ELEM. COMMUNITY ED.",2010,1.6
"756","WALBRIDGE ELEM. COMMUNITY ED.",2011,0.9
"757","WALBRIDGE ELEM. COMMUNITY ED.",2012,1
"758","WALBRIDGE ELEM. COMMUNITY ED.",2013,0.9
"759","WALBRIDGE ELEM. COMMUNITY ED.",2014,0
"760","WALBRIDGE ELEM. COMMUNITY ED.",2015,0
"761","WASHINGTON MONTESSORI",2008,0
"762","WASHINGTON MONTESSORI",2009,0
"763","WASHINGTON MONTESSORI",2010,0
"764","WASHINGTON MONTESSORI",2011,0
"765","WASHINGTON MONTESSORI",2012,0
"766","WASHINGTON MONTESSORI",2013,0
"767","WASHINGTON MONTESSORI",2014,0
"768","WASHINGTON MONTESSORI",2015,0
"769","WILKINSON EARLY CHILDHOOD CTR.",2008,0
"770","WILKINSON EARLY CHILDHOOD CTR.",2009,0
"771","WILKINSON EARLY CHILDHOOD CTR.",2010,0
"772","WILKINSON EARLY CHILDHOOD CTR.",2011,0
"773","WILKINSON EARLY CHILDHOOD CTR.",2012,0
"774","WILKINSON EARLY CHILDHOOD CTR.",2013,0
"775","WILKINSON EARLY CHILDHOOD CTR.",2014,0
"776","WILKINSON EARLY CHILDHOOD CTR.",2015,0
"777","WOERNER ELEM.",2008,0
"778","WOERNER ELEM.",2009,0.3
"779","WOERNER ELEM.",2010,1
"780","WOERNER ELEM.",2011,0.3
"781","WOERNER ELEM.",2012,0.3
"782","WOERNER ELEM.",2013,0
"783","WOERNER ELEM.",2014,0
"784","WOERNER ELEM.",2015,0.3
"785","WOODWARD ELEM.",2008,0
"786","WOODWARD ELEM.",2009,0
"787","WOODWARD ELEM.",2010,0
"788","WOODWARD ELEM.",2011,0.3
"789","WOODWARD ELEM.",2012,0
"790","WOODWARD ELEM.",2013,0
"791","WOODWARD ELEM.",2014,0
"792","WOODWARD ELEM.",2015,0
"793","WYMAN ELEM.",2008,0
"794","WYMAN ELEM.",2009,NA
"795","WYMAN ELEM.",2010,NA
"796","WYMAN ELEM.",2011,NA
"797","WYMAN ELEM.",2012,NA
"798","WYMAN ELEM.",2013,NA
"799","WYMAN ELEM.",2014,NA
"800","WYMAN ELEM.",2015,NA
"801","YEATMAN-LIDDELL MIDDLE SCHOOL",2008,0.3
"802","YEATMAN-LIDDELL MIDDLE SCHOOL",2009,0.7
"803","YEATMAN-LIDDELL MIDDLE SCHOOL",2010,0
"804","YEATMAN-LIDDELL MIDDLE SCHOOL",2011,0.7
"805","YEATMAN-LIDDELL MIDDLE SCHOOL",2012,0.8
"806","YEATMAN-LIDDELL MIDDLE SCHOOL",2013,0.5
"807","YEATMAN-LIDDELL MIDDLE SCHOOL",2014,0.7
"808","YEATMAN-LIDDELL MIDDLE SCHOOL",2015,1.7
